director,drama_name,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
"Kang Il Soo, Han Hyun Hee",Rookie Historian Goo Hae Ryung,1109,194,8.6,9.0,8.5,8.1,8.8
"Kang Il Soo, Han Hyun Hee",Solomon's Perjury,1345,944,8.7,8.8,8.4,7.4,8.5
"Kang In, Lee Dong Hyun",Tempted,4677,103,5.4,7.0,6.0,3.1,5.7
Kang Min Gu,Good Job,2540,1073,7.0,8.1,7.5,5.8,7.5
Kang Min Gu,May It Please the Court,1116,2159,9.3,9.8,8.6,8.4,9.3
Kang Min Gu,Pumpkin Time,4513,4129,7.8,8.5,8.0,5.8,7.5
Kang Min Gu,The Goddess of Revenge,4161,2907,7.0,7.8,6.0,5.2,6.7
"Kang Min Gu, Kim Seong Yoon",Itaewon Class,595,19,6.5,8.0,7.3,4.9,6.7
Kang Min Kyung,New Love Playlist,5067,4789,7.0,8.1,7.4,4.8,6.2
"Kang Min Kyung, Cha Young Hoon",When the Camellia Blooms,582,133,8.4,8.8,8.5,7.1,8.3
Kang Shin Hyo,Children of a Lesser God,2085,2170,7.5,8.0,6.9,5.2,7.2
"Kang Shin Hyo, Jo Nam Hyung",Tale of the Nine-Tailed,833,53,7.8,8.6,8.3,7.0,7.8
"Kang Shin Hyo, Jo Nam Hyung",Tale of the Nine-Tailed 1938,101,546,8.2,9.3,7.9,8.4,8.8
"Kang Sol, Park Dae Hee",Delivery Man,2881,1486,7.6,7.1,5.9,4.6,6.9
"Kang Sol, Park Dae Hee",Show Window: The Queen's House,4579,3510,7.5,8.7,7.9,4.6,7.4
"Kang Soo Yeon, Lee Woong Hee",My Perfect Stranger,310,981,9.0,9.2,7.8,6.7,8.8
Kang Woo,Long Time No See,4199,266,7.6,8.8,7.2,6.9,7.7
"Kang Yoon Sung, Nam Ki Hoon",Big Bet,5129,3530,8.2,10.0,8.3,6.5,8.2
Kim Bo Ra,Fall for You,2136,4272,9.4,9.2,8.2,8.8,9.6
Kim Bo Tong,The King of the Desert,7005,7595,8.2,9.2,6.8,4.7,8.2
Kim Bong Joo,Dark Hole,4175,1147,7.1,8.5,7.5,6.2,7.5
Kim Byung Soo,Bubblegum,7163,996,7.1,8.8,7.1,5.7,6.9
Kim Byung Soo,He Is Psychometric,883,68,8.3,9.2,8.0,6.1,8.2
Kim Byung Soo,Scripting Your Destiny,2627,1426,8.2,8.5,8.3,7.7,8.1
Kim Byung Soo,The Bride of Habaek,6366,61,6.5,7.2,8.1,4.9,6.9
"Kim Byung Soo, Kim Jung Wook",Rookie Cops,925,504,8.2,8.8,8.4,7.6,8.5
Kim Chil Bong,Numbers,2685,1546,7.2,8.6,6.6,6.5,7.4
Kim Chil Bong,Second Husband,4758,3452,5.5,6.8,5.7,3.5,5.6
Kim Chul Gyu,Celebrity,826,547,7.4,8.2,8.0,5.9,7.5
Kim Chul Gyu,Chicago Typewriter,251,126,8.9,9.3,9.5,8.2,9.2
Kim Chul Gyu,On the Way to the Airport,3560,1714,7.9,8.9,8.6,7.0,7.9
"Kim Chul Gyu, Kim Sang Woo",My Beautiful Bride,2542,1538,8.8,8.9,8.9,7.1,8.7
"Kim Chul Gyu, Yoon Hyun Gi",Confession,903,1187,9.0,9.1,7.8,8.0,8.9
"Kim Chul Gyu, Yoon Hyun Gi",Mother,49,349,9.6,10.0,8.9,8.3,9.6
"Kim Chul Gyu, Yoon Jong Ho",Flower of Evil,19,28,8.7,9.8,9.4,7.3,8.8
"Kim Da Ye, Kim Bo Kyung",Salon De Nabi,1177,2362,9.0,9.2,8.9,8.7,9.0
Kim Dae Jin,Golden Pouch,4750,5224,6.9,8.5,6.6,5.4,7.6
Kim Dae Jin,The King of Pigs,231,1197,9.3,9.7,9.1,8.4,9.5
"Kim Dae Jin, Kim Jung Wook",Doctor Cha,1709,765,5.2,8.0,6.0,4.1,5.5
"Kim Dae Jin, Lee Dong Hyun",Less Than Evil,2281,2772,7.5,8.4,7.2,5.9,7.8
Kim Do Hoon,Chimera,1595,1661,8.6,8.8,7.3,7.3,8.2
Kim Do Hyung,Somehow 18,1417,844,8.9,9.2,7.1,8.4,8.9
Kim Do Hyung,Was It Love?,6690,696,3.8,6.6,6.7,2.4,5.0
Kim Do Won,Magic School,8026,3096,6.8,8.0,6.8,4.2,7.0
Kim Dong Hwi,The Merchant: Gaekju 2015,7555,5176,5.5,6.2,5.2,5.5,5.8
"Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon",The Tale of Nokdu,849,138,6.4,8.6,7.3,5.4,6.9
Kim Dong Hyun,Romance Blue,7409,5676,2.0,4.0,3.8,1.0,2.5
"Kim Eun Kyung, Oh Hwan Min",Oh! Youngsim,8020,2632,6.1,6.5,5.8,5.1,5.5
Kim Ga Ram,Devilish Joy,2621,446,7.2,8.9,7.7,6.9,8.1
Kim Ga Ram,Flower Crew: Joseon Marriage Agency,3188,785,8.2,8.8,7.5,6.9,8.0
"Kim Ga Ram, Jang Ji Yeon","Nevertheless,",5953,89,4.4,8.0,8.5,2.9,5.3
"Kim Ga Ram, Lee Seung Hoon",Vampire Detective,5747,913,6.3,8.3,6.2,5.4,7.0
Kim Gun Woo,I  Can See Your MBTI,8764,4198,6.7,7.3,5.5,5.0,6.3
Kim Hee Won,Little Women,425,212,7.7,8.8,8.2,6.2,7.7
Kim Hee Won,Money Flower,1430,1097,9.3,9.8,9.4,8.0,9.5
Kim Hee Won,Soundtrack #1,790,290,7.8,8.4,8.5,7.5,8.0
Kim Hee Won,The Crowned Clown,708,412,9.0,9.8,9.3,8.1,9.1
Kim Hee Won,Vincenzo,62,17,6.1,8.2,7.1,3.5,6.2
Kim Heung Dong,Enemies from the Past,4761,7589,5.8,6.8,4.2,3.2,5.0
Kim Heung Dong,Good People,54775,13917,3.8,3.0,1.5,1.0,3.5
"Kim Heung Dong, Kim Chil Bong",Everybody Say Kungdari,58800,15089,8.5,10.0,8.0,5.0,8.5
Kim Hong Seon,Decoy: Part 1,2483,3470,9.2,9.3,7.8,7.7,9.2
Kim Hong Seon,Decoy: Part 2,3220,5905,8.0,8.0,1.0,1.0,8.0
Kim Hong Seon,L.U.C.A.: The Beginning,6638,1023,6.1,8.2,8.5,3.6,6.4
Kim Hong Seon,Money Heist: Korea - Joint Economic Area - Part 1,997,423,7.7,8.5,6.8,6.2,7.4
Kim Hong Seon,Money Heist: Korea - Joint Economic Area - Part 2,393,1138,8.1,8.8,7.5,6.0,8.4
Kim Hong Seon,Pied Piper,2267,2633,7.8,8.0,7.1,5.7,8.0
Kim Hong Seon,The Guest,205,317,8.7,9.0,9.0,7.5,8.8
Kim Hong Seon,Voice,492,276,7.6,8.1,7.4,6.1,7.9
"Kim Hong Seon, Go Jae Hyun",Black,1823,151,8.2,8.3,8.6,6.8,8.0
Kim Hye Young,Be Melodramatic,668,334,8.0,8.8,8.0,7.2,7.9
Kim Hyoung Seok,My Golden Life,2506,1199,7.3,8.6,7.5,4.9,7.8
"Kim Hyoung Seok, Lee Na Jung",Oh My Venus,1138,46,6.9,9.0,7.7,6.5,7.5
Kim Hyun Soo,Broke Rookie Star,6574,5611,8.0,7.0,8.0,4.0,7.0
Kim Hyung Il,Brilliant Heritage,5955,7996,5.7,5.3,4.7,3.7,5.3
Kim Hyung Il,"The King of Tears, Lee Bang Won",45954,6211,5.0,8.0,1.0,1.0,4.8
Kim Hyung Min,Love Scene Number,5586,2674,8.2,8.4,6.3,6.2,7.9
Kim Hyung Shik,About Time,5730,399,6.6,7.6,6.8,4.1,6.4
Kim Hyung Shik,Twenty Again,1932,637,8.7,8.5,8.3,7.2,8.7
Kim Hyung Shik,Under the Queen's Umbrella,40,489,8.9,9.8,9.2,8.4,9.2
"Kim Jae Hong, Park Bo Ram",Through the Darkness,171,772,7.2,8.8,6.9,5.5,7.2
Kim Jae Hyun,One Dollar Lawyer,497,873,8.2,8.9,8.2,6.8,8.2
Kim Jang Han,You Raise Me Up,3380,1419,7.6,8.8,8.3,7.0,7.9
Kim Jee Woon,Dr. Brain,2458,2068,7.9,9.2,8.2,7.7,8.4
Kim Jeong Han,88 Street,56751,11471,9.5,9.5,8.5,9.0,9.5
Kim Jho Kwang Soo,The New Employee,6343,818,7.2,8.2,7.3,6.5,7.7
Kim Ji Hyun,The Universe’s Star,2262,799,8.3,8.5,8.5,6.3,8.6
"Kim Ji Hyun, Lee Jae Jin",Sisters-in-Law,4607,6021,5.0,5.5,4.0,3.0,5.0
Kim Jin Man,Rebel: Thief Who Stole the People,410,803,8.5,9.5,9.5,7.0,8.9
"Kim Jin Man, Kim Dae Jin","Kill Me, Heal Me",232,29,8.5,9.0,8.8,8.0,8.7
Kim Jin Min,Extracurricular,682,96,7.6,8.7,7.3,6.0,7.7
Kim Jin Min,Lawless Lawyer,1086,139,7.3,8.7,6.9,6.5,7.8
Kim Jin Min,Marriage Contract,1999,544,8.2,9.5,8.4,7.8,8.6
Kim Jin Min,My Name,243,78,7.4,8.5,8.0,5.8,7.7
Kim Jin Min,The Liar and His Lover,5790,238,7.2,8.0,8.7,5.0,7.4
Kim Jin Sung,All That We Loved,3866,2030,7.1,8.6,7.9,7.1,7.3
Kim Jin Won,Just Between Lovers,439,71,8.9,9.5,9.2,8.2,9.1
Kim Jin Won,My Country: The New Age,730,558,8.7,9.6,9.0,7.8,9.0
"Kim Jin Won, Jun Chang Geun",The Package,1781,789,9.3,9.2,8.6,8.9,9.4
"Kim Jin Won, No Sang Hoon",Hello Monster,700,127,8.9,9.0,8.4,8.6,9.0
"Kim Jin Woo, Kwon Young Il",Suits,1633,573,8.2,8.9,7.0,6.4,7.9
"Kim Jin Woo, Lee Na Jung, Park Yoo Young",Love Alarm Season 2,9210,186,4.9,7.0,6.2,2.8,4.9
"Kim Jin Woo, Park Yoo Young",A Model Family,5614,2567,8.5,9.6,8.1,6.2,7.9
"Kim Jin Woo, Yoo Young Eun",Queen of Mystery,1311,1207,8.9,9.4,8.5,7.8,9.0
Kim Jin Yeol,All the Liquors,7436,1232,6.0,7.1,6.6,4.2,6.2
Kim Jin Yeol,Individual Circumstances,7893,1220,5.5,6.5,6.3,4.4,5.9
Kim Jong Chang,Mother of Mine,3549,3527,7.4,7.8,7.8,4.8,7.2
Kim Jong Hyeok,God's Quiz: Reboot,898,3258,9.0,9.2,7.5,8.0,8.8
Kim Jong Hyun,Priest,2466,2010,7.4,8.1,7.2,5.9,7.6
Kim Joon Mo,A DeadbEAT's Meal,45879,8452,9.0,10.0,8.0,9.5,9.0
Kim Joon Mo,Flat,4258,7352,8.9,8.9,8.0,8.1,8.9
Kim Joon Mo,XX,1201,880,8.8,9.2,8.8,7.1,9.0
"Kim Joon Mo, Wang Hye Ryung, Kang Min Kyung, Im Jung Seop",Let Me Off the Earth,5153,3435,8.1,8.7,8.8,6.7,8.1
Kim Jung Gyu,Be My Dream Family,1857,5386,7.9,8.4,6.1,6.8,7.6
Kim Jung Gyu,Five Enough,955,1376,8.8,9.2,8.1,7.9,8.8
Kim Jung Ho,Secrets and Lies,58939,9884,4.6,5.6,4.6,3.5,4.8
Kim Jung Hoon,Desperate Mr. X,48231,7674,7.5,7.5,1.0,4.5,7.5
Kim Jung Hyun,"At a Distance, Spring Is Green",881,293,6.9,8.2,8.3,5.9,7.5
Kim Jung Hyun,Crazy Love,1153,333,9.4,9.7,9.2,9.1,9.6
Kim Jung Hyun,Legal High,4444,2529,6.7,7.5,5.9,5.1,6.3
Kim Jung Hyun,My Fellow Citizens!,4295,1194,8.2,9.2,8.5,6.4,8.3
Kim Jung Hyun,The Fabulous,4446,614,7.9,8.7,8.5,7.5,8.2
"Kim Jung Hyun, Kang Soo Yeon",Jugglers,3687,726,6.2,7.5,6.8,5.3,6.5
"Kim Jung Hyun, Yoo In Shik",Mrs. Cop Season 2,5933,3683,8.5,9.5,7.0,7.0,8.5
Kim Jung Kwon,"I Hate You, Juliet!",7035,2598,6.4,7.8,6.4,5.3,6.8
Kim Jung Kwon,Lie After Lie,820,1183,8.9,9.3,8.2,8.2,9.0
Kim Jung Kwon,Love to Hate You,376,280,8.3,8.7,7.2,7.7,8.4
Kim Jung Min,Grand Prince,3001,1644,6.8,7.7,7.5,5.2,6.7
Kim Jung Min,Hidden Identity,4066,1987,8.5,9.6,8.4,8.4,8.9
Kim Jung Min,Love Affairs in the Afternoon,2427,1619,8.5,9.0,8.5,7.8,8.6
Kim Jung Min,Love Is Drop by Drop,6139,6834,4.5,5.0,3.0,2.0,4.5
Kim Jung Min,Queen: Love and War,2515,1494,8.0,8.4,8.5,6.4,8.0
Kim Jung Min,Remarriage and Desires,1728,1003,7.4,8.5,8.8,5.0,7.5
Kim Jung Min,Secret Royal Inspector,1773,1102,7.5,8.1,7.7,6.5,7.7
Kim Jung Min,Sweet Stranger and Me,6243,648,6.8,7.8,6.6,4.6,6.4
Kim Jung Min,The Secret Romantic Guesthouse,1308,1285,8.7,8.9,7.8,6.9,8.5
Kim Jung Shik,"Work Later, Drink Now",561,825,9.2,9.4,8.4,8.4,9.3
"Kim Keun Hong, Park Sang Hoon",Make a Woman Cry,4872,6385,6.1,7.4,5.6,4.0,6.9
"Kim Keun Hong, Shim So Yeon",Welcome 2 Life,1025,1270,8.9,9.5,8.2,8.4,8.9
Kim Kyu Tae,Moon Lovers: Scarlet Heart Ryeo,223,16,7.4,9.0,8.5,6.8,7.9
"Kim Kyu Tae, Lee Jung Mook",Our Blues,221,331,9.8,9.9,9.3,9.2,9.7
"Kim Kyu Tae, Myung Hyun Woo",Live,279,574,9.7,9.7,9.2,8.9,9.6
Kim Kyung Hee,365: Repeat the Year,413,480,8.4,9.0,7.2,6.2,8.5
Kim Kyung Hee,Lucky Romance,3652,400,8.0,9.0,7.6,6.9,8.3
Kim Mi Sook,Bad Love,52842,9463,7.0,7.8,5.2,5.2,7.0
"Kim Min Kyung, Goo Sung Joon",Do Do Sol Sol La La Sol,4200,256,5.8,9.0,8.5,4.4,6.7
"Kim Min Shik, Lee Dae Young",Flower of the Queen,6954,4493,4.0,4.5,1.0,1.0,4.0
"Kim Min Shik, Noh Young Sub",Goodbye to Goodbye,2370,2294,7.7,8.1,6.6,6.0,7.6
Kim Min Tae,School 2021,2375,628,7.3,8.0,8.3,5.4,7.5
"Kim Min Tae, Kim Hyoung Seok","Cheat On Me, if You Can",2929,1314,7.3,9.1,8.2,6.4,7.9
"Kim Min Tae, Kim Young Gyoon",Witch's Court,1796,809,6.3,8.2,7.1,5.1,6.8
Kim Moon Kyo,Trolley,3994,2599,8.0,8.7,7.2,5.8,7.5
Kim Myung Wook,Left-Handed Wife,7239,4917,6.6,6.3,4.8,3.7,6.0
Kim Myung Wook,"Sweet Home, Sweet Honey",8416,6822,7.3,7.0,5.5,4.4,6.5
Kim Myung Wook,Unknown Woman,6424,6682,5.2,6.8,4.2,3.1,5.5
Kim No Won,The Road: The Tragedy of One,6756,4067,6.9,8.6,7.9,3.5,6.6
Kim Pyung Joong,A Bird That Doesn't Sing,51955,9461,6.5,6.8,3.5,4.2,6.2
Kim Sang Ho,Money Game,2703,3740,8.0,9.0,8.4,7.4,8.7
Kim Sang Ho,Thirty-Nine,1407,464,7.6,8.7,7.0,5.9,7.9
"Kim Sang Ho, Choi Jung Gyu",Splendid Politics,4965,3091,6.9,7.4,7.1,4.7,7.2
"Kim Sang Ho, Lee Chang Min",Man to Man,3371,376,6.9,8.6,6.9,5.8,7.3
"Kim Sang Ho, Park Seung Woo",Spring Turns to Spring,2277,2865,7.8,9.3,7.4,6.9,8.2
Kim Sang Hwi,Perfume,3076,761,7.5,8.8,7.3,6.8,7.7
"Kim Sang Hwi, Kim Young Jo",The Jingbirok: A Memoir of Imjin War,48287,10218,9.8,9.2,8.8,8.8,10.0
Kim Sang Hyub,Melancholia,3816,755,8.9,9.6,9.2,7.7,9.2
Kim Sang Hyub,True Beauty,942,23,6.0,7.8,7.6,4.2,6.6
"Kim Sang Hyub, Kim Hee Won",Glamorous Temptation,7617,3231,6.0,7.9,5.7,2.8,6.1
"Kim Sang Hyub, Kim Sang Woo",Extraordinary You,750,30,7.0,8.5,7.8,5.4,7.5
"Kim Sang Hyub, Kim Sang Woo",The King in Love,3071,1022,8.7,9.0,9.3,8.3,9.0
Kim Sang Woo,Govengers,4997,6671,9.2,9.5,8.2,9.5,9.2
Kim Sang Woo,Level Up,6827,1556,6.9,7.5,6.0,4.2,6.8
Kim Sang Woo,Live On,1536,533,6.7,8.0,7.6,5.9,7.1
Kim Seok Yoon,Awl,3410,3958,6.6,7.4,5.6,5.8,7.1
Kim Seok Yoon,Law School,329,198,7.8,9.0,8.5,7.3,8.2
Kim Seok Yoon,My Liberation Notes,317,306,8.8,9.5,8.8,7.6,8.6
Kim Seok Yoon,My Wife’s Having an Affair This Week,2831,1354,8.3,9.5,8.5,7.0,8.7
Kim Seok Yoon,The Light in Your Eyes,1434,457,8.5,8.6,7.8,6.2,8.3
Kim Seong Yoon,The Sound of Magic,1019,192,8.5,9.2,8.8,7.0,8.7
Kim Seung Woo,Starting Point of Dating,55508,8016,6.0,6.0,6.0,5.0,6.0
Kim Shin Il,Fatal Promise,54290,7221,6.7,7.5,6.0,4.3,6.3
Kim Shin Il,TV Novel: That Sun in the Sky,51032,15604,6.0,6.0,5.8,1.0,6.0
"Kim Shin Il, Jeon Woo Sung",Strongest Deliveryman,2923,437,7.6,8.6,7.8,6.5,7.6
Kim Soo Jung,Semantic Error,1241,148,8.5,9.1,8.8,9.4,9.2
"Kim Soo Jung, Joo Sung Min",Dear My Name,3569,2505,8.3,8.5,6.9,7.3,8.1
Kim Sung Deok,Girls' Love Story,52369,8459,4.8,6.2,5.0,5.2,5.5
Kim Sung Geun,It's Beautiful Now,2334,1753,8.5,8.9,8.0,7.5,8.4
Kim Sung Ho,Bad Prosecutor,1234,1064,6.8,8.9,8.0,5.4,7.2
Kim Sung Ho,Move to Heaven,9,86,9.6,9.8,9.2,8.5,9.7
Kim Sung Hoon,Kingdom,146,113,8.2,8.4,7.4,7.6,8.1
"Kim Sung Hoon, Park In Je",Kingdom Season 2,80,252,9.2,9.3,7.9,7.9,8.9
Kim Sung Soo,Save Me,473,117,8.5,9.2,7.8,6.5,8.6
Kim Sung Wook,Item,6248,1692,5.8,6.9,5.2,3.9,5.8
"Kim Sung Wook, Lee Dae Young","Father, I’ll Take Care of You",4833,2331,7.5,7.6,6.2,3.9,6.8
Kim Sung Yong,My Healing Love,5224,5709,5.5,6.5,4.5,4.5,5.7
Kim Sung Yong,The Veil,821,851,8.0,8.8,8.5,6.8,8.2
"Kim Sung Yong, Jung Ji In",Let's Hold Hands Tightly and Watch The Sunset,8734,6805,2.0,2.0,1.0,1.0,2.0
Kim Tae Eun,The Lover,5486,527,8.5,9.0,7.7,8.0,8.7
Kim Tae Wook,Freshman,6819,4229,7.3,9.7,7.0,8.8,8.2
Kim Tae Wook,Kiss Goblin,2514,686,8.6,8.2,8.1,7.5,8.5
Kim Tae Wook,We're Not Trash,43276,10104,9.2,9.5,7.9,8.8,9.2
"Kim Tae Yoon, Sung Chi Wook",Tomorrow,95,98,8.4,9.0,8.5,7.5,8.6
Kim Won Suk,Arthdal Chronicles Part 1: The Children of Prophecy,466,315,8.5,9.5,8.4,7.5,8.5
Kim Won Suk,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",201,514,9.2,9.7,8.8,8.6,9.2
Kim Won Suk,Arthdal Chronicles Part 3: The Prelude to All Legends,196,604,9.2,9.7,8.2,7.8,8.5
Kim Won Suk,Signal,67,84,8.2,9.2,8.5,7.4,8.5
"Kim Won Suk, Kim Sang Woo",My Mister,33,106,9.8,10.0,10.0,9.5,9.7
Kim Won Yong,A Place in the Sun,6662,4936,8.0,8.0,5.8,6.3,7.7
Kim Won Yong,All is Well,8144,7194,3.5,4.0,1.0,1.0,3.5
Kim Won Yong,Love Twist,54026,7296,3.4,4.5,3.1,2.9,3.4
Kim Yang Hee,"Noble, My Love",5090,310,6.7,7.5,6.4,6.5,7.4
"Kim Yong Bum, An Joon Young","Persevere, Goo Hae Ra",7009,1746,6.9,7.5,8.4,5.0,6.9
Kim Yong Min,My Wonderful Life,58179,8064,3.6,6.0,3.1,1.0,2.9
"Kim Yong Min, Choi Eun Gyung",Blessing of the Sea,53475,8876,3.5,4.5,1.0,1.0,3.5
"Kim Yong Min, Choi Eun Gyung",Teacher Oh Soon Nam,54228,12073,2.0,1.5,1.0,1.0,2.0
Kim Yong Soo,Babysitter,6149,6548,8.8,8.3,8.8,7.5,8.3
Kim Yong Soo,The Man in the Mask,8356,3224,7.5,8.0,6.2,6.0,7.5
Kim Yong Soo,The Running Mates: Human Rights,6271,6445,6.8,8.0,5.7,5.1,6.3
Kim Yong Wan,If You Wish Upon Me,638,495,7.9,9.2,8.3,7.2,8.0
Kim Yong Wan,The Cursed,3063,1751,7.9,8.8,6.9,6.0,8.2
Kim Yoo Jin,My Heart Twinkle Twinkle,7768,4032,7.9,8.9,6.1,6.6,8.1
Kim Yoo Jin,Revenge of Others,446,348,7.6,8.3,7.5,5.8,7.5
"Kim Yoo Jin, Kim Yoo Jin",The Undateables,4814,878,6.8,8.6,8.4,5.4,7.6
Kim Yoon Cheol,Battle for Happiness,2952,3767,8.3,8.4,8.8,6.4,7.9
Kim Yoon Cheol,Becoming Witch,6712,4497,4.8,8.0,4.9,3.2,5.8
Kim Yoon Cheol,Madame Antoine,6856,516,6.0,7.6,7.0,3.9,6.0
Kim Yoon Cheol,Mama Fairy and the Woodcutter,8577,1291,7.0,8.0,6.6,5.4,7.1
Kim Yoon Cheol,Woman of Dignity,1534,1779,8.1,9.4,7.3,6.6,8.5
Kim Yoon Jin,Our Beloved Summer,226,83,7.0,8.7,8.2,6.3,7.8
Kim Young Jo,Jang Young Shil,3655,5614,8.6,9.4,8.1,7.2,8.9
Kim Young Jo,Oh My Geum Bi,1152,2156,9.1,9.4,8.0,7.8,9.0
Kim Young Jo,Woman of 9.9 Billion,5220,2972,6.8,8.0,6.6,5.6,7.2
Kim Young Joon,How Are You Bread,8776,1901,5.3,6.7,6.7,4.4,5.8
Kim Young Min,Short,3591,3590,7.9,8.5,8.0,7.8,8.3
Ko Heung Sik,Mom Has an Affair,6789,9021,7.2,7.3,5.5,4.3,7.0
Ko Heung Sik,My Mother Is a Daughter-In-Law,44090,14364,10.0,10.0,10.0,10.0,10.0
Ko Jae Hong,Dear X Who Doesn't Love Me,8255,2644,6.7,7.3,6.4,3.5,6.3
Ko Jae Hong,The Temperature of Language: Our Nineteen,3006,1634,9.0,9.1,7.8,6.8,9.0
Komatsu Takashi,Persona,7718,909,6.8,8.9,6.6,5.5,7.0
Kwak Bong Cheol,When Time Stopped,6950,1432,7.6,8.9,9.0,5.6,7.7
Kwak Bong Cheol,Your Playlist,8703,5286,2.0,4.3,5.8,1.0,2.3
Kwak Gi Won,It's My Life,7749,5924,6.5,8.2,6.5,6.2,6.8
Kwak Gi Won,Sponsor,9054,3971,7.5,7.5,5.2,3.2,5.8
Kwak Gi Won,Still Loving You,4135,5209,7.0,7.5,4.0,4.5,7.0
Kwak Jung Hwan,Chief of Staff,2192,1832,8.9,9.4,8.3,7.2,8.9
Kwak Jung Hwan,Chief of Staff Season 2,1334,3093,9.2,9.5,8.3,7.3,9.3
Kwak Jung Hwan,Delayed Justice,3691,4725,9.5,9.4,8.2,7.6,8.7
Kwak Jung Hwan,Local Hero,7343,1656,7.2,7.2,6.8,4.9,6.9
Kwak Jung Hwan,Miss Hammurabi,1863,316,8.2,8.6,8.3,7.2,8.0
Kwak Jung Hwan,The K2,1479,36,7.1,8.5,7.7,4.9,7.6
Kwon Hyuk Chan,I Picked Up a Star on the Road,5657,908,7.0,8.2,7.2,5.8,6.9
"Kwon Hyuk Chan, Lee Min Woo",Cinderella and the Four Knights,3491,34,5.8,7.6,7.7,4.1,6.3
"Kwon Hyuk Chan, Park Shin Woo",Encounter,1834,248,8.5,9.5,9.0,8.2,8.8
"Kwon Ik Joon, Kim Jung Shik",So Not Worth it,2915,618,6.9,7.8,7.5,6.9,7.3
Kwon Nam Ki,Magic Cell Phone,9229,5151,4.7,4.3,4.2,2.0,4.7
Kwon Seok Jang,Bossam: Steal the Fate,2079,1892,7.6,8.8,8.5,6.2,7.8
Kwon Seok Jang,Ex-Girlfriend Club,4698,920,8.4,9.2,8.4,7.7,8.5
Kwon Seok Jang,Once Upon a Small Town,2236,499,6.3,7.4,6.1,5.0,6.8
"Kwon Seok Jang, Kim Sang Ho",Avengers Social Club,415,887,9.1,9.4,8.1,8.0,8.8
Kwon Soo Kyung,The Flatterer,8860,2947,7.3,8.2,4.8,7.5,7.3
Kwon Sung Chang,One More Happy Ending,2917,667,7.4,9.2,7.5,6.1,8.1
Kwon Sung Chang,Queen of the Ring,2518,393,6.8,8.2,6.7,5.1,6.9
Kwon Young Il,Doom at Your Service,609,62,7.5,8.8,8.7,6.5,7.8
Kwon Young Il,My Unfamiliar Family,716,1451,8.2,8.8,7.9,6.7,8.2
Lee Byung Hun,Positive Physique,6715,1475,6.3,8.7,6.8,7.2,7.2
"Lee Byung Hun, Kim Hye Young",Unicorn,5598,4163,8.6,9.4,7.6,8.2,8.9
"Lee Byung Hun, Seo Seong Won","Alice, the Final Weapon",3378,2288,7.1,7.9,6.9,5.4,7.2
Lee Chang Han,Love & Wish,4525,2650,8.5,8.8,8.2,6.6,8.2
Lee Chang Han,Love in Spring,7871,2200,6.3,8.3,7.7,4.9,6.8
Lee Chang Han,Risky Romance,5371,2230,7.4,8.4,6.8,7.0,7.8
Lee Chang Hee,Strangers from Hell,259,120,8.1,9.6,8.8,6.1,8.1
Lee Chang Min,Agency,1331,1948,8.8,9.3,8.2,7.8,8.9
Lee Chang Min,Eulachacha Waikiki,346,111,8.4,9.5,8.5,7.8,8.6
Lee Chang Min,Eulachacha Waikiki Season 2,1520,442,7.3,8.0,7.0,6.3,7.4
Lee Chang Min,Monthly Magazine Home,4152,1162,7.3,8.5,7.9,5.5,7.1
Lee Chang Min,Remember: War of the Son,1217,377,8.2,8.6,7.3,5.5,8.2
Lee Chul Ha,Eating Existence,8729,4799,5.6,7.1,5.8,3.8,6.1
Lee Chul Ha,Unlock My Boss,2117,1088,8.9,9.2,8.5,7.7,8.6
Lee Dan,Taxi Driver Season 2,90,682,7.0,8.6,8.1,6.5,7.6
Lee Dong Hyun,She Knows Everything,7383,4462,7.6,8.6,6.3,5.9,7.6
"Lee Dong Hyun, Lee Dae Young",Golden Garden,6357,4864,7.4,7.5,6.2,6.2,7.2
Lee Dong Yoon,20th Century Boy and Girl,3014,1221,7.7,9.0,8.0,7.7,8.4
Lee Dong Yoon,Happy Home,6834,4878,6.5,8.0,4.8,5.5,7.2
Lee Dong Yoon,Race,6265,4178,7.5,8.3,7.8,6.3,6.7
Lee Dong Yoon,She Would Never Know,2090,264,7.6,8.5,7.9,7.4,8.0
Lee Duk Gun,"TV Novel: Waves, Waves",59249,15772,4.7,4.3,2.5,1.0,4.2
Lee Duk Gun,The Unusual Family,58885,9305,3.5,4.0,1.0,1.0,3.5
"Lee Duk Gun, Park Man Young",The Eccentric Daughter-in-Law,7125,2769,7.3,7.8,7.8,6.2,7.9
Lee Eon Hee,The Killer's Shopping List,1737,1381,8.7,9.1,8.0,6.9,8.5
Lee Eun Jin,Feel Good to Die,3694,1605,8.2,8.9,8.1,7.4,8.3
Lee Eun Jin,The Law Cafe,1751,563,6.3,7.7,6.9,4.7,6.4
"Lee Eun Jin, Kim Jung Hyun",Sassy Go Go,1575,145,8.1,9.4,8.2,7.5,8.6
Lee Eung Bok,Goblin,131,1,6.3,8.2,8.3,4.2,6.5
Lee Eung Bok,Jirisan,1550,557,6.5,8.8,7.4,4.9,7.0
